var.name,var.mean,var.sd
lambda,0.0367265253277227,0.0420039190670355
b1.1,-0.0452546057700732,0.0409868522347619
b1.2,-0.186555797617923,0.109999552317209
b1.3,1.61303713030111,1.27290856906996
b1.4,1.71824409061112,1.30354249243278
b1.5,1.85818798933384,1.35319943507961
b1.6,1.6656126694289,1.29128845618166
b1.7,0.11753146177723,0.0823776075040178
b1.8,-0.209250175125241,0.137745704840575
b1.9,0.226590250740572,0.131042103549815
b1.10,-0.0299864566286233,0.092935286484123
b1.11,0.185863714287125,0.271430417305029
b1.12,-0.0649319583867153,0.0947213775793088
b1.13,0.0440303758235325,0.0714332978254052
b1.14,0.0207705144820595,0.0637164043845747
b1.15,0.119469753528324,0.0810756246742922
b1.16,1.77342290343379,1.3289896472486
b1.17,0.0308394347154927,0.0219796946358993
b2.1,0.00884482831525764,0.00911362109843682
b2.2,-0.0305192982251766,0.0360954380067629
b2.3,-0.195109576429324,0.213201174540944
b2.4,-0.187969295971621,0.238416329096274
b2.5,-0.220359405721262,0.226300678791303
b2.6,-0.226687495450011,0.223139156297817
b2.7,0.0255149215403105,0.0394172091840002
b2.8,-0.083888441885415,0.0719380092216597
b2.9,0.00370830569681925,0.0351437970136472
b2.10,0.0287319935706336,0.0683906980626672
b2.11,-0.0808764023418198,0.202208932469765
b2.12,-0.0178358171507639,0.0645352238982227
b2.13,-0.0165637168330797,0.0398656504927127
b2.14,0.00262327138950953,0.0421469292625629
b2.15,-0.00867636209844411,0.0277225096882567
b2.16,-0.158730008300808,0.211877140084806
b2.17,-0.0175462984127815,0.0230631701228647
a1,1.70051424310833,1.2287093457364
a2,1.69772842765409,1.23185532888112
a3,1.69893071310963,1.23135445614694
a4,1.69831044226251,1.23237118168266
a5,1.70052251530845,1.23128535675068
a6,1.69949934091724,1.23097503480909
a7,1.70030142673918,1.23258066857383
a8,1.69702057141811,1.23133785082812
a9,1.69873264658416,1.23154612978643
a10,1.69928158777877,1.23077233180116
a11,1.69954373081713,1.23363956121522
a12,1.69847663458049,1.23077945873564
a13,1.69928528813001,1.23244051795954
a14,1.69935075697578,1.22980679815899
a15,1.69988630400851,1.23119868892228
a16,1.69847199521914,1.23251297842357
a17,1.69910146678241,1.23113505093527
a18,1.69878313483171,1.23152588378959
a19,1.6985565767999,1.23048013998326
a20,1.69867173700193,1.23441532437684
a21,1.69952538347928,1.23047967380603
a22,1.69927711553115,1.23120979284138
a23,1.69938519072124,1.23276963537691
a24,1.70027414444559,1.23220151276038
a25,1.69992157724676,1.23316444162337
a26,1.6985174633367,1.23189309900051
a27,1.6979509055757,1.23125994491694
a28,1.69875966783447,1.22848187525459
a29,1.69884909684617,1.23206475257268
a30,1.69939176743365,1.22906553125808
a31,1.69887675034192,1.2301347480164
a32,1.69869416104623,1.23401757162211
a33,1.69970852866022,1.23106748726024
a34,1.70011507828197,1.23384075134482
a35,1.70001861685735,1.23202242898338
a36,1.69930563411671,1.23067010594968
a37,1.69951733696884,1.22966760767334
a38,1.70045244167476,1.23187017546958
a39,1.70049203311266,1.23173759000493
a40,1.70015543357037,1.23070466641303
a41,1.70015263375773,1.23107251626812
a42,1.70062780514715,1.23080020127691
a43,1.69935477815506,1.2330968848683
a44,1.69848924686346,1.2304818865885
a45,1.69857771631752,1.23155606590452
a46,1.69870783939012,1.22877409706682
a47,1.70119316263638,1.23113161556309
a48,1.69894372226016,1.23094123520928
a49,1.69899338191402,1.22961373863431
a50,1.69970105413597,1.23018684025364
a51,1.70047906831916,1.22988951790637
a52,1.69867410223183,1.230211665129
a53,1.69883123054732,1.23497680665749
a54,1.6994358650913,1.23245294738836
a55,1.69895031948467,1.23208278748095
a56,1.70052998619432,1.23087522153501
a57,1.69674567719686,1.22940165584853
a58,1.69780634875194,1.23367082181757
a59,1.69873058513835,1.23156401775213
a60,1.70012994010577,1.23223195177849
a61,1.69960569372612,1.23138432470521
a62,1.69783347447305,1.23003346492643
a63,1.69912320352672,1.23210013785244
a64,1.70036919366666,1.23007107732992
a65,1.69809470430032,1.23074074685559
a66,1.6986447148276,1.23118149617756
a67,1.69943113178239,1.23177482355055
a68,1.69919210640414,1.23191381182859
a69,1.69743241055897,1.23095092846562
a70,1.70068145952042,1.23168495725453
a71,1.69717456974198,1.23050093584013
a72,1.69878708376677,1.23340797575774
a73,1.69881513474867,1.23339230054578
a74,1.69906855326943,1.23147522719815
a75,1.69900979491053,1.23083403724896
a76,1.69913942609954,1.23130496923709
sigma2,0.0367265253277227,0.0420039190670355
