"","var.name","estimation","std.error"
"1","lambda",0.0287874383619519,0.0107669327288043
"2","a1",3.48303214884376,874.572544509268
"3","a2",3.91716200619983,874.572548425334
"4","a3",3.70880015527808,874.572538554765
"5","a4",4.79095787702485,874.572525936732
"6","a5",3.28937409242832,874.572549881185
"7","a6",3.75910533693039,874.57253607158
"8","a7",3.66838899076637,874.572553665764
"9","a8",4.37257976748296,874.572540432799
"10","a9",4.30230087004773,874.572530681301
"11","a10",4.55572294457559,874.572513754086
"12","a11",3.91116493972661,874.572536768098
"13","a12",4.11978986841889,874.572533748137
"14","a13",4.45365409092907,874.572523667283
"15","a14",4.782371384033,874.57252766098
"16","a15",3.80046083781107,874.572543035596
"17","a16",3.91544155707041,874.57254693027
"18","a17",4.10897977190933,874.572529654858
"19","a18",4.48644710799137,874.57253594958
"20","a19",4.55664201587662,874.57252402212
"21","a20",4.97172543712797,874.572522034774
"22","a21",3.65484551888844,874.572541577806
"23","a22",3.80633975101369,874.572545747214
"24","a23",4.35454657219136,874.572524346509
"25","a24",4.42254856390824,874.572519396441
"26","a25",4.80209126568119,874.572519955994
"27","a26",3.80580049940343,874.572539337296
"28","a27",3.86232871110636,874.572530838998
"29","a28",4.21430755181499,874.572537701187
"30","a29",4.73677593870747,874.572524643199
"31","a30",4.79068535850846,874.572540023118
"32","a31",3.45464398941231,874.572545604856
"33","a32",3.70541689993178,874.57253218235
"34","a33",3.98615598742102,874.572526157289
"35","a34",4.30451798706136,874.572526442705
"36","a35",4.66906864194362,874.572525229373
"37","a36",4.85169845738105,874.572514983294
"38","a37",4.37555567351977,874.572519896232
"39","a38",3.90262258624919,874.572566339265
"40","a39",4.21729629001922,874.572546617974
"41","a40",4.34432695254904,874.572538186839
"42","a41",4.75932544115014,874.572524369587
"43","a42",3.95389701701301,874.572549504205
"44","a43",4.69844126053054,874.572524162255
"45","a44",4.77645794734694,874.572517930515
"46","a45",4.15441530184737,874.572541385013
"47","a46",4.5415365582417,874.572520404021
"48","a47",3.83267948198176,874.572548614059
"49","a48",4.12990110427955,874.57253372548
"50","a49",4.07896934096731,874.572523817534
"51","a50",4.60093202341602,874.572522721546
"52","a51",4.78035801913945,874.572525829071
"53","a52",4.55101903129487,874.572517707095
"54","a53",3.29806325334611,874.572551311947
"55","a54",3.28085678949703,874.572553832595
"56","a55",4.3220948574042,874.572540241303
"57","a56",4.16493643548382,874.572577759091
"58","a57",4.34381808100518,874.572527230749
"59","a58",5.10808528956388,874.572549632475
"60","a59",3.41619544125263,874.572561231682
"61","a60",3.62290248464601,874.572550141763
"62","a61",4.13001229267512,874.57254475557
"63","a62",3.39660037900263,874.572553846912
"64","a63",3.52376882723237,874.57253952672
"65","a64",3.40241162833878,874.572543475147
"66","a65",4.30402974627951,874.572540714948
"67","a66",3.61196126550201,874.572547151876
"68","a67",3.76975105419639,874.572554566511
"69","a68",4.01582240022826,874.57254388276
"70","a69",4.04961412026763,874.572546055365
"71","a70",4.26238425531411,874.572538295997
"72","a71",3.67838009132451,874.572545251853
"73","a72",4.03331611462296,874.572539299238
"74","a73",3.70648145341666,874.572544891701
"75","a74",3.7229608789849,874.572548968378
"76","a75",3.4820061139463,874.572550815819
"77","a76",3.50584453368836,874.572541014415
"78","b1.1",-0.216339302494571,0.0242587835584554
"79","b1.2",-0.12736043659501,0.0324397417485175
"80","b1.3",1.59169353597382,874.572695254029
"81","b1.4",1.65998532082876,874.57270060051
"82","b1.5",1.74241409051941,874.572692707133
"83","b1.6",1.62361875309163,874.57269002813
"84","b1.7",0.0724928838330425,0.03619469646509
"85","b1.8",-0.141424684847483,0.0550680897269691
"86","b1.9",0.154649813498884,0.0373429226954083
"87","b1.10",-0.0360411000258882,0.0579047732144079
"88","b1.11",0.100311095585756,0.170711599917984
"89","b1.12",-0.0725787582192796,0.058201318900369
"90","b1.13",0.0160061073896534,0.0453150154970778
"91","b1.14",0.0290563156420484,0.039949446915486
"92","b1.15",0.122246752614037,0.0330583938023034
"93","b1.16",1.71519301178758,874.572689710051
"94","b1.17",0.0328296516786294,0.0101003210828482
"95","b2.1",-0.0050617037158888,0.00453213950492761
"96","b2.2",-0.025331223176193,0.0216782286840288
"97","b2.3",0.00666016195982822,0.0819286781453188
"98","b2.4",-0.0285055704486549,0.125114587553349
"99","b2.5",0.0139535499370321,0.0889725604682535
"100","b2.6",-0.0515605545361091,0.0842218955452337
"101","b2.7",0.0133538957398791,0.0252233326234303
"102","b2.8",-0.0442334793194859,0.0386018236497813
"103","b2.9",-0.00259866656813955,0.0246232524892479
"104","b2.10",0.00317215006768605,0.0446710024838809
"105","b2.11",-0.113639299028044,0.137081395602763
"106","b2.12",0.00767066148476633,0.043266224980437
"107","b2.13",0.0134733070354428,0.0303070177339167
"108","b2.14",0.0489590460613406,0.0260755383669407
"109","b2.15",0.00555767200174877,0.0201880269855161
"110","b2.16",0.0461231624241754,0.0826570018356592
"111","b2.17",-0.00868572170339569,0.00510660725111586
"112","sigma2",0.42332380567001,0.0133316079763744
